timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 15:50:08.999300,05991f9b,0.45,0.199,0.199,0.165,0.094,0.003,0.341,0.324,0.3008,0.0818,0.0582,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.341, 'audio': 0.7}",True
2026-05-16 15:50:19.924322,05991f9b,0.341,0.54,0.114,0.087,0.049,0.002,0.208,0.3063,0.3685,0.1813,0.044,neutral,"{'face': 0.5681, 'audio': 0.4319}","{'face': 0.54, 'audio': 0.7}",True
2026-05-16 15:50:25.763962,05991f9b,0.439,0.687,0.076,0.062,0.03,0.001,0.144,0.2921,0.4166,0.2785,0.0309,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.687, 'audio': 0.7}",True
2026-05-16 15:50:31.547546,05991f9b,0.441,0.743,0.065,0.048,0.024,0.001,0.12,0.2784,0.4556,0.3551,0.0213,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.743, 'audio': 0.7}",True
2026-05-16 15:50:35.511669,05991f9b,0.331,0.7,0.058,0.041,0.02,0.001,0.179,0.2337,0.4867,0.41,0.0152,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.7, 'audio': 0.7}",True
2026-05-16 15:50:41.348019,05991f9b,0.358,0.704,0.052,0.035,0.017,0.001,0.19,0.205,0.5067,0.4469,0.0109,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.704, 'audio': 0.7}",True
2026-05-16 15:50:47.368468,05991f9b,0.379,0.708,0.045,0.037,0.017,0.003,0.189,0.1994,0.5128,0.461,0.0094,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.708, 'audio': 0.7}",True
2026-05-16 15:50:53.089578,05991f9b,0.369,0.729,0.033,0.032,0.013,0.005,0.189,0.1908,0.5183,0.4728,0.0085,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.729, 'audio': 0.7}",True
2026-05-16 15:50:59.008674,05991f9b,0.4,0.737,0.024,0.03,0.011,0.007,0.191,0.1885,0.5213,0.4812,0.0079,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 15:51:04.685178,05991f9b,0.514,0.788,0.017,0.028,0.01,0.008,0.15,0.2061,0.5234,0.4899,0.0076,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.788, 'audio': 0.7}",True
2026-05-16 15:51:10.436377,05991f9b,0.572,0.823,0.011,0.027,0.009,0.008,0.122,0.2259,0.5257,0.4985,0.0073,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.823, 'audio': 0.7}",True
2026-05-16 15:51:16.450237,05991f9b,0.546,0.868,0.008,0.02,0.007,0.007,0.091,0.2338,0.5327,0.5125,0.0066,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.868, 'audio': 0.7}",True
2026-05-16 15:51:22.297086,05991f9b,0.545,0.902,0.005,0.015,0.005,0.005,0.068,0.2385,0.5403,0.5266,0.0056,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.902, 'audio': 0.7}",True
2026-05-16 15:51:28.401466,05991f9b,0.557,0.925,0.003,0.011,0.003,0.005,0.053,0.242,0.5475,0.5397,0.0046,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.925, 'audio': 0.7}",True
2026-05-16 15:51:32.366908,05991f9b,0.443,0.901,0.008,0.01,0.003,0.004,0.074,0.225,0.5551,0.5494,0.0038,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.901, 'audio': 0.7}",True
2026-05-16 15:51:38.274251,05991f9b,0.357,0.87,0.011,0.01,0.003,0.004,0.102,0.199,0.5612,0.5551,0.0032,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.87, 'audio': 0.7}",True
2026-05-16 15:51:42.538759,05991f9b,0.295,0.788,0.047,0.021,0.006,0.004,0.135,0.1785,0.5572,0.5411,0.0034,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.788, 'audio': 0.7}",True
2026-05-16 15:51:48.297887,05991f9b,0.266,0.669,0.113,0.034,0.013,0.004,0.167,0.1704,0.5401,0.5014,0.0047,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.669, 'audio': 0.7}",True
2026-05-16 15:51:54.200203,05991f9b,0.275,0.533,0.204,0.049,0.021,0.004,0.189,0.1805,0.5098,0.4363,0.007,engaged,"{'face': 0.5597, 'audio': 0.4403}","{'face': 0.533, 'audio': 0.7}",True
2026-05-16 15:52:00.444290,05991f9b,0.407,0.466,0.272,0.06,0.025,0.004,0.173,0.2267,0.4726,0.3648,0.0093,engaged,"{'face': 0.4797, 'audio': 0.5203}","{'face': 0.466, 'audio': 0.7}",True
2026-05-16 15:52:06.583354,05991f9b,0.495,0.377,0.366,0.072,0.03,0.004,0.152,0.3182,0.4252,0.2829,0.0117,engaged,"{'face': 0.116, 'audio': 0.884}","{'face': 0.377, 'audio': 0.7}",True
2026-05-16 15:52:12.332095,05991f9b,0.635,0.316,0.442,0.076,0.033,0.004,0.128,0.3908,0.3854,0.2092,0.0138,engaged,"{'face': 0.451, 'audio': 0.549}","{'face': 0.442, 'audio': 0.7}",True
2026-05-16 15:52:18.339488,05991f9b,0.694,0.285,0.493,0.078,0.033,0.005,0.106,0.4494,0.3548,0.1511,0.0152,engaged,"{'face': 0.5119, 'audio': 0.4881}","{'face': 0.493, 'audio': 0.7}",True
2026-05-16 15:52:24.337511,05991f9b,0.629,0.264,0.492,0.079,0.034,0.005,0.127,0.4766,0.3371,0.1152,0.0161,engaged,"{'face': 0.5107, 'audio': 0.4893}","{'face': 0.492, 'audio': 0.7}",True
2026-05-16 15:52:30.020937,05991f9b,0.617,0.262,0.482,0.078,0.034,0.004,0.141,0.4875,0.3278,0.0961,0.0166,engaged,"{'face': 0.4988, 'audio': 0.5012}","{'face': 0.482, 'audio': 0.7}",True
2026-05-16 15:52:35.818964,05991f9b,0.588,0.266,0.431,0.076,0.033,0.004,0.19,0.481,0.3272,0.0972,0.0165,engaged,"{'face': 0.4379, 'audio': 0.5621}","{'face': 0.431, 'audio': 0.7}",True
2026-05-16 15:52:41.545485,05991f9b,0.588,0.272,0.368,0.074,0.033,0.003,0.25,0.5058,0.3241,0.1101,0.0163,engaged,"{'face': 0.116, 'audio': 0.884}","{'face': 0.368, 'audio': 0.7}",True
2026-05-16 15:52:47.384521,05991f9b,0.557,0.325,0.283,0.068,0.03,0.002,0.292,0.5096,0.3309,0.1411,0.0155,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.325, 'audio': 0.7}",True
2026-05-16 15:52:53.587959,05991f9b,0.6,0.363,0.216,0.063,0.027,0.001,0.329,0.5261,0.3374,0.1765,0.0144,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.363, 'audio': 0.7}",True
