timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 16:15:23.722208,0a30dcbc,0.43,0.005,0.33,0.124,0.306,0.001,0.234,0.38,0.2817,0.0,0.0796,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.33, 'audio': 0.7}",True
2026-05-16 16:15:31.454032,0a30dcbc,0.392,0.003,0.293,0.098,0.412,0.001,0.194,0.402,0.2759,0.0,0.1197,neutral,"{'face': 0.4152, 'audio': 0.5848}","{'face': 0.412, 'audio': 0.7}",True
2026-05-16 16:15:37.184560,0a30dcbc,0.399,0.008,0.254,0.088,0.362,0.0,0.288,0.4063,0.2764,0.0107,0.1397,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.362, 'audio': 0.7}",True
2026-05-16 16:15:43.298164,0a30dcbc,0.406,0.01,0.245,0.09,0.332,0.001,0.322,0.4085,0.2779,0.0225,0.149,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.332, 'audio': 0.7}",True
2026-05-16 16:15:47.298762,0a30dcbc,0.305,0.01,0.24,0.092,0.308,0.002,0.348,0.3766,0.2848,0.0343,0.1517,neutral,"{'face': 0.116, 'audio': 0.884}","{'face': 0.348, 'audio': 0.7}",True
2026-05-16 16:15:51.304850,0a30dcbc,0.244,0.012,0.222,0.089,0.283,0.003,0.391,0.3409,0.2934,0.0491,0.1442,neutral,"{'face': 0.3901, 'audio': 0.6099}","{'face': 0.391, 'audio': 0.7}",True
2026-05-16 16:15:56.927108,0a30dcbc,0.24,0.016,0.186,0.082,0.229,0.003,0.484,0.3096,0.3034,0.0735,0.1272,neutral,"{'face': 0.5012, 'audio': 0.4988}","{'face': 0.484, 'audio': 0.7}",True
2026-05-16 16:16:02.828861,0a30dcbc,0.24,0.016,0.176,0.082,0.187,0.003,0.536,0.2843,0.3119,0.0957,0.1099,neutral,"{'face': 0.5633, 'audio': 0.4367}","{'face': 0.536, 'audio': 0.7}",True
2026-05-16 16:16:08.486643,0a30dcbc,0.236,0.016,0.169,0.078,0.169,0.007,0.56,0.2623,0.3192,0.1142,0.0962,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.56, 'audio': 0.7}",True
2026-05-16 16:16:12.505636,0a30dcbc,0.236,0.016,0.183,0.073,0.157,0.009,0.561,0.2518,0.3236,0.1261,0.0855,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.561, 'audio': 0.7}",True
2026-05-16 16:16:18.124373,0a30dcbc,0.292,0.015,0.196,0.069,0.147,0.011,0.561,0.2542,0.3248,0.1322,0.0773,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.561, 'audio': 0.7}",True
2026-05-16 16:16:23.476608,0a30dcbc,0.292,0.017,0.23,0.066,0.139,0.012,0.536,0.2596,0.3241,0.1298,0.0719,neutral,"{'face': 0.5633, 'audio': 0.4367}","{'face': 0.536, 'audio': 0.7}",True
2026-05-16 16:16:29.801532,0a30dcbc,0.29,0.02,0.253,0.057,0.135,0.013,0.522,0.265,0.3232,0.1251,0.0687,neutral,"{'face': 0.5466, 'audio': 0.4534}","{'face': 0.522, 'audio': 0.7}",True
2026-05-16 16:16:35.117784,0a30dcbc,0.301,0.024,0.269,0.05,0.115,0.01,0.533,0.2694,0.3229,0.1228,0.0632,neutral,"{'face': 0.5597, 'audio': 0.4403}","{'face': 0.533, 'audio': 0.7}",True
2026-05-16 16:16:41.764085,0a30dcbc,0.374,0.028,0.281,0.042,0.095,0.008,0.546,0.2812,0.3218,0.1229,0.0562,neutral,"{'face': 0.5752, 'audio': 0.4248}","{'face': 0.546, 'audio': 0.7}",True
