timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 18:24:32.051154,103b2950,0.0,0.065,0.069,0.089,0.048,0.029,0.7,0.1341,0.2931,0.239,0.0233,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.7, 'audio': 0.7}",True
2026-05-16 18:24:35.752630,103b2950,0.0,0.065,0.069,0.089,0.048,0.029,0.7,0.1301,0.2422,0.2402,0.0267,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.7, 'audio': 0.7}",True
2026-05-16 18:24:39.654181,103b2950,0.0,0.059,0.077,0.094,0.06,0.027,0.684,0.1327,0.2049,0.2359,0.0308,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.684, 'audio': 0.7}",True
2026-05-16 18:24:43.486299,103b2950,0.0,0.053,0.083,0.092,0.065,0.024,0.684,0.1346,0.1778,0.2308,0.0341,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.684, 'audio': 0.7}",True
2026-05-16 18:24:47.427663,103b2950,0.0,0.047,0.089,0.092,0.066,0.022,0.684,0.1393,0.1576,0.2251,0.0361,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.684, 'audio': 0.7}",True
2026-05-16 18:24:53.710095,103b2950,0.077,0.038,0.097,0.089,0.068,0.018,0.69,0.1344,0.2322,0.2205,0.0367,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.69, 'audio': 0.7}",True
2026-05-16 18:24:59.755720,103b2950,0.164,0.029,0.104,0.085,0.071,0.015,0.695,0.1447,0.281,0.2145,0.0372,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.695, 'audio': 0.7}",True
2026-05-16 18:25:03.971445,103b2950,0.164,0.02,0.105,0.077,0.066,0.012,0.72,0.1494,0.3153,0.2127,0.036,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.72, 'audio': 0.7}",True
2026-05-16 18:25:08.125563,103b2950,0.164,0.014,0.114,0.071,0.06,0.012,0.729,0.1518,0.3392,0.2115,0.0342,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.729, 'audio': 0.7}",True
2026-05-16 18:25:11.911070,103b2950,0.164,0.01,0.118,0.064,0.056,0.013,0.739,0.1522,0.3561,0.2115,0.0324,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.739, 'audio': 0.7}",True
2026-05-16 18:25:15.948280,103b2950,0.087,0.006,0.124,0.059,0.052,0.013,0.746,0.1417,0.357,0.2127,0.0305,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.746, 'audio': 0.7}",True
2026-05-16 18:25:19.762132,103b2950,0.0,0.002,0.122,0.053,0.046,0.012,0.765,0.1349,0.2812,0.2158,0.0281,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.765, 'audio': 0.7}",True
2026-05-16 18:25:23.485898,103b2950,0.0,0.001,0.119,0.048,0.041,0.011,0.781,0.1277,0.2286,0.2202,0.0256,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.781, 'audio': 0.7}",True
2026-05-16 18:25:27.472237,103b2950,0.0,0.001,0.107,0.044,0.036,0.009,0.804,0.1184,0.1927,0.2277,0.023,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.804, 'audio': 0.7}",True
2026-05-16 18:25:33.211816,103b2950,0.081,0.001,0.094,0.042,0.031,0.007,0.826,0.1068,0.2463,0.2372,0.0202,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.826, 'audio': 0.7}",True
2026-05-16 18:25:37.115029,103b2950,0.081,0.001,0.081,0.041,0.028,0.005,0.843,0.0987,0.2842,0.247,0.0176,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.843, 'audio': 0.7}",True
2026-05-16 18:25:41.011349,103b2950,0.081,0.001,0.074,0.043,0.027,0.004,0.85,0.0919,0.324,0.2548,0.0157,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.85, 'audio': 0.7}",True
2026-05-16 18:25:45.270028,103b2950,0.081,0.002,0.071,0.046,0.027,0.003,0.852,0.0877,0.3518,0.2603,0.0144,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.852, 'audio': 0.7}",True
2026-05-16 18:25:49.483472,103b2950,0.081,0.002,0.07,0.05,0.029,0.003,0.846,0.0862,0.3709,0.2624,0.014,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.846, 'audio': 0.7}",True
2026-05-16 18:25:53.541963,103b2950,0.0,0.001,0.071,0.052,0.029,0.002,0.845,0.0869,0.2928,0.2625,0.0138,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.845, 'audio': 0.7}",True
2026-05-16 18:25:57.559153,103b2950,0.0,0.001,0.072,0.052,0.028,0.001,0.847,0.0876,0.238,0.2622,0.0134,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.847, 'audio': 0.7}",True
2026-05-16 18:26:03.025104,103b2950,0.096,0.001,0.073,0.051,0.028,0.001,0.846,0.0901,0.2771,0.2615,0.0133,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.846, 'audio': 0.7}",True
2026-05-16 18:26:06.701636,103b2950,0.096,0.001,0.075,0.051,0.028,0.001,0.845,0.0921,0.3045,0.2606,0.0131,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.845, 'audio': 0.7}",True
2026-05-16 18:26:10.371302,103b2950,0.096,0.001,0.073,0.048,0.026,0.001,0.851,0.0924,0.324,0.2614,0.0127,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.851, 'audio': 0.7}",True
2026-05-16 18:26:14.102258,103b2950,0.096,0.001,0.072,0.048,0.026,0.001,0.854,0.0924,0.3509,0.2625,0.0124,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:17.890344,103b2950,0.096,0.001,0.072,0.048,0.026,0.001,0.854,0.0924,0.3697,0.2632,0.0122,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:21.623796,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0897,0.2922,0.264,0.0121,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:25.397147,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0877,0.238,0.2647,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:29.086739,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0865,0.2,0.2649,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:32.775082,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0857,0.1734,0.265,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:36.432812,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:40.162678,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:43.895252,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:47.634966,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:51.288169,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:54.991376,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:26:58.646926,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:02.387643,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:06.061597,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:09.843226,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:13.513408,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:17.230730,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:20.897583,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
2026-05-16 18:27:24.618132,103b2950,0.0,0.001,0.072,0.048,0.026,0.001,0.854,0.0851,0.1548,0.2651,0.012,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.854, 'audio': 0.7}",True
