timestamp,session_id,audio_stress_score,neutral,happy,sad,surprise,angry,fear,disgust,stress,engagement,confusion,confidence,dominant_state
2026-05-16 15:12:40.480484,22a90e0f,0.382,0.319,0.311,0.08,0.117,0.059,0.07,0.044,0.299,0.338,0.11,0.646,positive
2026-05-16 15:12:41.555126,22a90e0f,0.394,0.321,0.308,0.08,0.115,0.06,0.069,0.046,0.305,0.332,0.109,0.641,positive
2026-05-16 15:12:42.630918,22a90e0f,0.401,0.322,0.306,0.08,0.114,0.062,0.068,0.048,0.309,0.327,0.108,0.637,positive
2026-05-16 15:12:43.642241,22a90e0f,0.436,0.324,0.303,0.081,0.112,0.063,0.067,0.05,0.328,0.317,0.108,0.618,positive
2026-05-16 15:12:44.659260,22a90e0f,0.45,0.326,0.3,0.081,0.11,0.065,0.066,0.052,0.336,0.309,0.107,0.61,positive
2026-05-16 15:12:45.723669,22a90e0f,0.488,0.329,0.295,0.082,0.107,0.068,0.063,0.056,0.356,0.295,0.104,0.592,positive
2026-05-16 15:12:46.732963,22a90e0f,0.505,0.334,0.29,0.083,0.103,0.071,0.06,0.059,0.365,0.284,0.102,0.584,neutral
2026-05-16 15:12:47.758010,22a90e0f,0.521,0.338,0.285,0.084,0.099,0.074,0.058,0.061,0.375,0.272,0.1,0.575,neutral
2026-05-16 15:12:48.770095,22a90e0f,0.507,0.344,0.28,0.086,0.095,0.077,0.054,0.063,0.368,0.265,0.097,0.584,neutral
2026-05-16 15:12:49.767022,22a90e0f,0.522,0.35,0.276,0.087,0.091,0.08,0.051,0.064,0.376,0.254,0.094,0.577,neutral
2026-05-16 15:12:50.764532,22a90e0f,0.529,0.357,0.272,0.089,0.086,0.083,0.048,0.065,0.381,0.244,0.092,0.573,neutral
2026-05-16 15:12:51.760155,22a90e0f,0.548,0.364,0.268,0.091,0.082,0.086,0.044,0.065,0.391,0.233,0.09,0.564,neutral
2026-05-16 15:12:52.776227,22a90e0f,0.559,0.372,0.264,0.093,0.077,0.088,0.041,0.064,0.397,0.222,0.088,0.559,neutral
2026-05-16 15:12:53.786041,22a90e0f,0.576,0.381,0.26,0.095,0.072,0.091,0.037,0.063,0.407,0.21,0.084,0.551,neutral
2026-05-16 15:12:54.790126,22a90e0f,0.597,0.391,0.256,0.098,0.067,0.094,0.034,0.061,0.419,0.197,0.083,0.54,neutral
2026-05-16 15:12:55.807671,22a90e0f,0.592,0.401,0.252,0.1,0.062,0.096,0.03,0.058,0.416,0.189,0.08,0.544,neutral
2026-05-16 15:12:56.806436,22a90e0f,0.574,0.411,0.248,0.103,0.057,0.098,0.027,0.055,0.408,0.183,0.078,0.553,neutral
2026-05-16 15:12:57.805307,22a90e0f,0.578,0.422,0.245,0.106,0.052,0.1,0.024,0.051,0.411,0.174,0.077,0.55,neutral
2026-05-16 15:12:58.815926,22a90e0f,0.579,0.433,0.24,0.11,0.047,0.102,0.021,0.047,0.413,0.163,0.076,0.549,neutral
2026-05-16 15:12:59.824348,22a90e0f,0.548,0.445,0.236,0.113,0.042,0.104,0.018,0.042,0.398,0.159,0.074,0.565,neutral
2026-05-16 15:13:00.822661,22a90e0f,0.585,0.457,0.232,0.116,0.037,0.105,0.016,0.038,0.418,0.144,0.074,0.545,neutral
2026-05-16 15:13:01.824823,22a90e0f,0.65,0.397,0.199,0.141,0.029,0.159,0.044,0.03,0.503,0.077,0.114,0.44,neutral
2026-05-16 15:13:02.828705,22a90e0f,0.705,0.334,0.168,0.167,0.023,0.212,0.072,0.024,0.583,0.016,0.156,0.339,neutral
