timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 16:37:13.648292,3d974c28,0.0,0.44,0.25,0.03,0.02,0.0,0.26,0.1263405,0.24205861980375004,0.30381782947863,0.009000000000000001,neutral,"{'face': 0.741, 'audio': 0.259}","{'face': 0.44, 'audio': 0.7}",False
2026-05-16 16:37:17.495162,3d974c28,0.0,0.433,0.248,0.039,0.02,0.003,0.258,0.1272,0.2408,0.2999,0.0096,neutral,"{'face': 0.7272, 'audio': 0.2728}","{'face': 0.433, 'audio': 0.7}",True
2026-05-16 16:37:21.281163,3d974c28,0.0,0.43,0.247,0.042,0.02,0.004,0.257,0.1275,0.24,0.2975,0.01,neutral,"{'face': 0.7213, 'audio': 0.2787}","{'face': 0.43, 'audio': 0.7}",True
2026-05-16 16:37:25.300926,3d974c28,0.0,0.403,0.233,0.042,0.02,0.004,0.299,0.1219,0.2383,0.2971,0.0101,neutral,"{'face': 0.6681, 'audio': 0.3319}","{'face': 0.403, 'audio': 0.7}",True
2026-05-16 16:37:29.190605,3d974c28,0.0,0.374,0.217,0.04,0.021,0.004,0.344,0.089,0.2385,0.3007,0.0104,neutral,"{'face': 0.1916, 'audio': 0.8084}","{'face': 0.374, 'audio': 0.7}",True
2026-05-16 16:37:33.172242,3d974c28,0.0,0.338,0.199,0.041,0.021,0.004,0.397,0.0903,0.2332,0.2993,0.0106,neutral,"{'face': 0.6562, 'audio': 0.3438}","{'face': 0.397, 'audio': 0.7}",True
2026-05-16 16:37:37.250620,3d974c28,0.0,0.304,0.181,0.038,0.022,0.003,0.451,0.0938,0.227,0.2987,0.0108,neutral,"{'face': 0.7627, 'audio': 0.2373}","{'face': 0.451, 'audio': 0.7}",True
2026-05-16 16:37:41.252870,3d974c28,0.0,0.276,0.183,0.035,0.022,0.003,0.482,0.099,0.2201,0.2956,0.0109,neutral,"{'face': 0.8239, 'audio': 0.1761}","{'face': 0.482, 'audio': 0.7}",True
2026-05-16 16:37:45.345144,3d974c28,0.0,0.279,0.198,0.033,0.022,0.002,0.466,0.1039,0.2153,0.2912,0.0108,neutral,"{'face': 0.7923, 'audio': 0.2077}","{'face': 0.466, 'audio': 0.7}",True
2026-05-16 16:37:49.336109,3d974c28,0.0,0.303,0.211,0.033,0.023,0.002,0.428,0.1105,0.2135,0.2875,0.0109,neutral,"{'face': 0.7174, 'audio': 0.2826}","{'face': 0.428, 'audio': 0.7}",True
2026-05-16 16:37:53.342087,3d974c28,0.0,0.312,0.215,0.034,0.024,0.001,0.414,0.1102,0.2138,0.2857,0.011,neutral,"{'face': 0.6898, 'audio': 0.3102}","{'face': 0.414, 'audio': 0.7}",True
2026-05-16 16:37:57.390443,3d974c28,0.0,0.318,0.215,0.034,0.025,0.001,0.408,0.1091,0.2151,0.285,0.0112,neutral,"{'face': 0.6779, 'audio': 0.3221}","{'face': 0.408, 'audio': 0.7}",True
2026-05-16 16:38:01.277270,3d974c28,0.0,0.327,0.208,0.037,0.027,0.0,0.401,0.107,0.2172,0.2865,0.0116,neutral,"{'face': 0.6641, 'audio': 0.3359}","{'face': 0.401, 'audio': 0.7}",True
2026-05-16 16:38:05.233256,3d974c28,0.0,0.331,0.209,0.042,0.029,0.0,0.389,0.1053,0.2189,0.287,0.0122,neutral,"{'face': 0.6405, 'audio': 0.3595}","{'face': 0.389, 'audio': 0.7}",True
2026-05-16 16:38:09.219009,3d974c28,0.0,0.324,0.212,0.046,0.032,0.0,0.386,0.1055,0.2188,0.2847,0.013,neutral,"{'face': 0.6345, 'audio': 0.3655}","{'face': 0.386, 'audio': 0.7}",True
2026-05-16 16:38:13.290175,3d974c28,0.0,0.349,0.22,0.048,0.035,0.0,0.348,0.0794,0.2231,0.2865,0.0141,neutral,"{'face': 0.1916, 'audio': 0.8084}","{'face': 0.349, 'audio': 0.7}",True
