timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 18:32:43.940414,41ccc74c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.17250000000000001,0.35,0.0,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 1.0, 'audio': 0.7}",False
2026-05-16 18:32:47.752395,41ccc74c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1725,0.35,0.0,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 1.0, 'audio': 0.7}",True
2026-05-16 18:32:58.380349,41ccc74c,0.044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1725,0.35,0.0,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 1.0, 'audio': 0.7}",True
2026-05-16 18:33:06.226681,41ccc74c,0.041,0.04,0.02,0.013,0.008,0.015,0.904,0.0094,0.1746,0.3427,0.0035,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.904, 'audio': 0.7}",True
2026-05-16 18:33:10.730177,41ccc74c,0.033,0.053,0.04,0.033,0.014,0.022,0.838,0.0245,0.175,0.3292,0.0073,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.838, 'audio': 0.7}",True
2026-05-16 18:33:16.322517,41ccc74c,0.04,0.074,0.064,0.055,0.023,0.032,0.753,0.0474,0.1748,0.3088,0.0129,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.753, 'audio': 0.7}",True
2026-05-16 18:33:20.039928,41ccc74c,0.04,0.094,0.088,0.077,0.031,0.041,0.668,0.0749,0.174,0.2841,0.0192,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.668, 'audio': 0.7}",True
2026-05-16 18:33:26.627505,41ccc74c,0.024,0.108,0.105,0.093,0.036,0.047,0.612,0.1024,0.1731,0.2601,0.0252,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.612, 'audio': 0.7}",True
2026-05-16 18:33:30.377528,41ccc74c,0.018,0.089,0.106,0.098,0.036,0.04,0.631,0.1215,0.1701,0.242,0.028,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.631, 'audio': 0.7}",True
2026-05-16 18:33:36.062323,41ccc74c,0.033,0.077,0.103,0.103,0.037,0.034,0.646,0.1341,0.1669,0.2299,0.0291,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.646, 'audio': 0.7}",True
2026-05-16 18:33:39.891475,41ccc74c,0.026,0.066,0.1,0.108,0.038,0.028,0.66,0.1418,0.1636,0.2223,0.0287,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.66, 'audio': 0.7}",True
2026-05-16 18:33:43.652013,41ccc74c,0.026,0.055,0.097,0.112,0.039,0.022,0.675,0.1458,0.1602,0.218,0.0275,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.675, 'audio': 0.7}",True
2026-05-16 18:33:47.668340,41ccc74c,0.015,0.049,0.096,0.117,0.042,0.018,0.678,0.1489,0.157,0.2148,0.0264,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.678, 'audio': 0.7}",True
2026-05-16 18:33:53.865283,41ccc74c,0.104,0.041,0.094,0.119,0.044,0.015,0.688,0.1451,0.2309,0.2128,0.0257,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.688, 'audio': 0.7}",True
2026-05-16 18:33:57.842393,41ccc74c,0.089,0.037,0.085,0.107,0.042,0.012,0.718,0.137,0.2841,0.2163,0.0246,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.718, 'audio': 0.7}",True
2026-05-16 18:34:03.778597,41ccc74c,0.173,0.032,0.077,0.095,0.039,0.01,0.748,0.1409,0.3199,0.2218,0.0232,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.748, 'audio': 0.7}",True
2026-05-16 18:34:07.929989,41ccc74c,0.173,0.025,0.065,0.079,0.036,0.007,0.788,0.1394,0.3462,0.2314,0.0214,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.788, 'audio': 0.7}",True
2026-05-16 18:34:11.553116,41ccc74c,0.173,0.02,0.059,0.071,0.033,0.005,0.812,0.1358,0.3651,0.2413,0.0194,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.812, 'audio': 0.7}",True
2026-05-16 18:34:15.722430,41ccc74c,0.083,0.019,0.058,0.064,0.031,0.004,0.824,0.1192,0.3684,0.2517,0.0176,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.824, 'audio': 0.7}",True
2026-05-16 18:34:22.577586,41ccc74c,0.167,0.019,0.059,0.059,0.028,0.003,0.832,0.1203,0.3686,0.2582,0.0159,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.832, 'audio': 0.7}",True
2026-05-16 18:34:26.732921,41ccc74c,0.083,0.017,0.056,0.05,0.025,0.002,0.85,0.1046,0.3719,0.2665,0.0141,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.85, 'audio': 0.7}",True
2026-05-16 18:34:32.280940,41ccc74c,0.164,0.018,0.055,0.045,0.023,0.003,0.856,0.1055,0.3724,0.2715,0.0129,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.856, 'audio': 0.7}",True
2026-05-16 18:34:36.193631,41ccc74c,0.164,0.024,0.056,0.04,0.021,0.003,0.855,0.1056,0.3735,0.2761,0.0118,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.855, 'audio': 0.7}",True
2026-05-16 18:34:39.823649,41ccc74c,0.164,0.028,0.052,0.036,0.02,0.004,0.859,0.1071,0.3746,0.2808,0.0111,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.859, 'audio': 0.7}",True
2026-05-16 18:34:43.433744,41ccc74c,0.08,0.032,0.05,0.033,0.02,0.005,0.861,0.0927,0.3786,0.2872,0.0108,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.861, 'audio': 0.7}",True
2026-05-16 18:34:47.325508,41ccc74c,0.08,0.038,0.058,0.038,0.024,0.01,0.831,0.0873,0.3806,0.2874,0.012,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.831, 'audio': 0.7}",True
2026-05-16 18:34:51.269467,41ccc74c,0.0,0.043,0.068,0.059,0.031,0.014,0.785,0.0879,0.3029,0.28,0.0145,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.785, 'audio': 0.7}",True
2026-05-16 18:34:55.584048,41ccc74c,0.0,0.04,0.073,0.073,0.036,0.016,0.762,0.0938,0.2471,0.2692,0.0174,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.762, 'audio': 0.7}",True
2026-05-16 18:34:59.367163,41ccc74c,0.0,0.038,0.078,0.087,0.041,0.018,0.738,0.1036,0.2066,0.256,0.0205,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.738, 'audio': 0.7}",True
2026-05-16 18:35:03.357668,41ccc74c,0.0,0.034,0.082,0.099,0.044,0.02,0.722,0.1169,0.1767,0.2419,0.0233,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.722, 'audio': 0.7}",True
2026-05-16 18:35:07.203930,41ccc74c,0.0,0.028,0.079,0.105,0.045,0.016,0.727,0.127,0.155,0.2316,0.0248,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.727, 'audio': 0.7}",True
