timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 19:21:12.926430,7732ebce,0.0,0.01,0.051,0.061,0.03,0.0,0.849,0.08502249999999999,0.1570929955321875,0.2704012572726563,0.0135,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.849, 'audio': 0.7}",False
2026-05-16 19:21:17.388354,7732ebce,0.0,0.013,0.051,0.069,0.033,0.003,0.831,0.0892,0.1567,0.2664,0.0149,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.831, 'audio': 0.7}",True
2026-05-16 19:21:22.031601,7732ebce,0.0,0.126,0.05,0.071,0.033,0.01,0.71,0.0909,0.169,0.2785,0.0165,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.71, 'audio': 0.7}",True
2026-05-16 19:21:26.376887,7732ebce,0.0,0.151,0.068,0.076,0.032,0.012,0.662,0.0965,0.176,0.2817,0.0173,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.662, 'audio': 0.7}",True
2026-05-16 19:21:38.644152,7732ebce,0.009,0.152,0.103,0.087,0.033,0.011,0.613,0.1092,0.1778,0.2736,0.0178,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.613, 'audio': 0.7}",True
2026-05-16 19:21:44.620482,7732ebce,0.018,0.174,0.138,0.098,0.049,0.014,0.528,0.1286,0.1795,0.259,0.0214,neutral,"{'face': 0.9146, 'audio': 0.0854}","{'face': 0.528, 'audio': 0.7}",True
2026-05-16 19:21:48.778255,7732ebce,0.018,0.194,0.174,0.105,0.063,0.014,0.45,0.1412,0.1809,0.2414,0.026,neutral,"{'face': 0.7608, 'audio': 0.2392}","{'face': 0.45, 'audio': 0.7}",True
2026-05-16 19:21:53.037767,7732ebce,0.018,0.143,0.201,0.134,0.076,0.016,0.431,0.1584,0.1734,0.2095,0.0314,neutral,"{'face': 0.7233, 'audio': 0.2767}","{'face': 0.431, 'audio': 0.7}",True
2026-05-16 19:21:57.269063,7732ebce,0.018,0.115,0.208,0.161,0.086,0.018,0.412,0.1735,0.1643,0.1769,0.0371,neutral,"{'face': 0.6858, 'audio': 0.3142}","{'face': 0.412, 'audio': 0.7}",True
2026-05-16 19:22:01.473085,7732ebce,0.009,0.094,0.184,0.188,0.091,0.02,0.423,0.1868,0.156,0.152,0.0421,neutral,"{'face': 0.7075, 'audio': 0.2925}","{'face': 0.423, 'audio': 0.7}",True
2026-05-16 19:22:07.174110,7732ebce,0.018,0.084,0.158,0.209,0.082,0.021,0.445,0.1976,0.1497,0.1368,0.0438,neutral,"{'face': 0.7509, 'audio': 0.2491}","{'face': 0.445, 'audio': 0.7}",True
2026-05-16 19:22:11.302479,7732ebce,0.018,0.072,0.132,0.219,0.091,0.023,0.463,0.2083,0.1443,0.1278,0.0463,neutral,"{'face': 0.7864, 'audio': 0.2136}","{'face': 0.463, 'audio': 0.7}",True
2026-05-16 19:22:19.932439,7732ebce,0.028,0.063,0.109,0.202,0.118,0.021,0.486,0.2165,0.1411,0.1274,0.0518,neutral,"{'face': 0.8318, 'audio': 0.1682}","{'face': 0.486, 'audio': 0.7}",True
2026-05-16 19:22:24.366681,7732ebce,0.028,0.053,0.092,0.186,0.163,0.021,0.484,0.2231,0.1382,0.1284,0.0626,neutral,"{'face': 0.8278, 'audio': 0.1722}","{'face': 0.484, 'audio': 0.7}",True
