timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 18:48:36.694408,80aa7356,0.0,0.0,0.27,0.09,0.06,0.0,0.58,0.237105,0.12314178408750003,0.11745515765390001,0.027,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.58, 'audio': 0.7}",False
2026-05-16 18:48:40.656546,80aa7356,0.0,0.006,0.233,0.082,0.06,0.0,0.619,0.2225,0.1268,0.1324,0.027,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.619, 'audio': 0.7}",True
2026-05-16 18:48:44.559401,80aa7356,0.0,0.007,0.217,0.08,0.075,0.0,0.621,0.2173,0.1282,0.1391,0.0301,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.621, 'audio': 0.7}",True
2026-05-16 18:48:48.479744,80aa7356,0.0,0.009,0.209,0.081,0.084,0.001,0.616,0.2155,0.129,0.1424,0.0333,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.616, 'audio': 0.7}",True
2026-05-16 18:48:59.218802,80aa7356,0.009,0.009,0.212,0.083,0.091,0.001,0.603,0.217,0.1289,0.1422,0.0362,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.603, 'audio': 0.7}",True
2026-05-16 18:49:05.498172,80aa7356,0.031,0.011,0.199,0.082,0.102,0.003,0.604,0.2163,0.1295,0.145,0.0406,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.604, 'audio': 0.7}",True
2026-05-16 18:49:12.294230,80aa7356,0.064,0.009,0.199,0.082,0.111,0.004,0.594,0.1971,0.2057,0.145,0.0453,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.594, 'audio': 0.7}",True
2026-05-16 18:49:16.476694,80aa7356,0.064,0.008,0.2,0.078,0.108,0.006,0.6,0.1828,0.2593,0.1455,0.048,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.6, 'audio': 0.7}",True
2026-05-16 18:49:20.202544,80aa7356,0.064,0.006,0.202,0.073,0.103,0.006,0.61,0.1716,0.297,0.1469,0.0487,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.61, 'audio': 0.7}",True
2026-05-16 18:49:25.833932,80aa7356,0.063,0.004,0.194,0.066,0.097,0.007,0.631,0.1605,0.3243,0.1514,0.0482,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.631, 'audio': 0.7}",True
2026-05-16 18:49:31.394671,80aa7356,0.046,0.004,0.192,0.061,0.092,0.007,0.645,0.1694,0.267,0.1554,0.0467,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.645, 'audio': 0.7}",True
2026-05-16 18:49:36.794308,80aa7356,0.128,0.004,0.191,0.058,0.089,0.006,0.653,0.1698,0.2899,0.16,0.0448,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:49:42.434111,80aa7356,0.239,0.004,0.191,0.058,0.089,0.006,0.653,0.187,0.303,0.162,0.0435,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:49:48.270459,80aa7356,0.328,0.004,0.191,0.058,0.089,0.006,0.653,0.2127,0.3099,0.1622,0.0427,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:49:54.290363,80aa7356,0.445,0.004,0.191,0.058,0.089,0.006,0.653,0.2489,0.3117,0.1606,0.0423,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:49:59.982682,80aa7356,0.539,0.004,0.191,0.058,0.089,0.006,0.653,0.2857,0.3233,0.1583,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:05.712460,80aa7356,0.535,0.004,0.191,0.058,0.089,0.006,0.653,0.3124,0.3189,0.1563,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:11.511093,80aa7356,0.562,0.004,0.191,0.058,0.089,0.006,0.653,0.3323,0.3155,0.1549,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:17.157259,80aa7356,0.599,0.004,0.191,0.058,0.089,0.006,0.653,0.3496,0.3126,0.1537,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:22.528050,80aa7356,0.599,0.004,0.191,0.058,0.089,0.006,0.653,0.3588,0.3111,0.153,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:27.980837,80aa7356,0.631,0.004,0.191,0.058,0.089,0.006,0.653,0.3676,0.3096,0.1524,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:34.571900,80aa7356,0.596,0.004,0.191,0.058,0.089,0.006,0.653,0.3686,0.3095,0.1523,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:38.209445,80aa7356,0.457,0.004,0.191,0.058,0.089,0.006,0.653,0.3476,0.313,0.1538,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
2026-05-16 18:50:41.954580,80aa7356,0.332,0.004,0.191,0.058,0.089,0.006,0.653,0.313,0.3188,0.1563,0.0421,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.653, 'audio': 0.7}",True
