timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 16:29:33.928499,828fa704,0.0,0.176,0.091,0.045,0.117,0.014,0.556,0.263,0.3124,0.24,0.0819,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.556, 'audio': 0.7}",True
2026-05-16 16:29:37.891354,828fa704,0.0,0.163,0.082,0.042,0.103,0.012,0.599,0.2153,0.2579,0.2475,0.0705,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.599, 'audio': 0.7}",True
2026-05-16 16:29:43.597337,828fa704,0.12,0.138,0.077,0.04,0.092,0.009,0.644,0.1775,0.2969,0.2562,0.0597,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.644, 'audio': 0.7}",True
2026-05-16 16:29:49.357271,828fa704,0.179,0.134,0.075,0.04,0.081,0.007,0.662,0.1546,0.3253,0.2658,0.0495,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.662, 'audio': 0.7}",True
2026-05-16 16:29:55.267335,828fa704,0.231,0.131,0.073,0.039,0.072,0.006,0.679,0.1449,0.3445,0.2738,0.0414,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.679, 'audio': 0.7}",True
2026-05-16 16:29:59.233864,828fa704,0.231,0.13,0.073,0.037,0.057,0.003,0.699,0.1486,0.3696,0.2788,0.0351,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.699, 'audio': 0.7}",True
2026-05-16 16:30:03.328939,828fa704,0.231,0.14,0.075,0.041,0.048,0.003,0.693,0.1517,0.3881,0.2829,0.0297,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.693, 'audio': 0.7}",True
2026-05-16 16:30:07.350638,828fa704,0.159,0.162,0.079,0.045,0.043,0.004,0.667,0.1439,0.3922,0.2883,0.0256,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.667, 'audio': 0.7}",True
2026-05-16 16:30:12.915896,828fa704,0.181,0.178,0.083,0.048,0.043,0.006,0.642,0.1414,0.3957,0.2914,0.0233,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.642, 'audio': 0.7}",True
2026-05-16 16:30:18.416783,828fa704,0.166,0.193,0.098,0.054,0.046,0.008,0.602,0.1393,0.3989,0.2904,0.0227,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.602, 'audio': 0.7}",True
2026-05-16 16:30:24.014431,828fa704,0.264,0.196,0.108,0.061,0.049,0.01,0.578,0.1556,0.3973,0.2838,0.0235,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.578, 'audio': 0.7}",True
