timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 19:12:29.171439,8d0ec696,0.0,0.25,0.17,0.22,0.06,0.03,0.27,0.054318599999999995,0.19403821370700003,0.17281245914434998,0.0375,neutral,"{'face': 0.1916, 'audio': 0.8084}","{'face': 0.27, 'audio': 0.7}",False
2026-05-16 19:12:35.674390,8d0ec696,0.0,0.241,0.181,0.194,0.057,0.021,0.306,0.0527,0.1935,0.1786,0.0349,neutral,"{'face': 0.1916, 'audio': 0.8084}","{'face': 0.306, 'audio': 0.7}",True
2026-05-16 19:12:39.929385,8d0ec696,0.0,0.213,0.161,0.171,0.057,0.018,0.379,0.0499,0.1919,0.1878,0.0335,fatigued,"{'face': 0.1916, 'audio': 0.8084}","{'face': 0.379, 'audio': 0.7}",True
2026-05-16 19:12:44.402779,8d0ec696,0.0,0.187,0.15,0.162,0.055,0.015,0.43,0.0954,0.1853,0.1901,0.0321,fatigued,"{'face': 0.7213, 'audio': 0.2787}","{'face': 0.43, 'audio': 0.7}",True
2026-05-16 19:12:48.565419,8d0ec696,0.0,0.164,0.14,0.157,0.054,0.013,0.471,0.1244,0.1798,0.1919,0.031,fatigued,"{'face': 0.8022, 'audio': 0.1978}","{'face': 0.471, 'audio': 0.7}",True
2026-05-16 19:12:52.650075,8d0ec696,0.0,0.127,0.122,0.141,0.05,0.008,0.552,0.1514,0.1731,0.1977,0.0285,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.552, 'audio': 0.7}",True
2026-05-16 19:12:56.989965,8d0ec696,0.0,0.092,0.101,0.142,0.046,0.006,0.613,0.1659,0.1665,0.2024,0.0262,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.613, 'audio': 0.7}",True
2026-05-16 19:13:01.145147,8d0ec696,0.0,0.07,0.091,0.147,0.041,0.004,0.647,0.1747,0.1607,0.2045,0.0235,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.647, 'audio': 0.7}",True
2026-05-16 19:13:05.386608,8d0ec696,0.0,0.055,0.079,0.146,0.037,0.002,0.68,0.1703,0.1569,0.2081,0.0209,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.68, 'audio': 0.7}",True
2026-05-16 19:13:09.674952,8d0ec696,0.0,0.051,0.076,0.16,0.034,0.001,0.677,0.1687,0.1538,0.2085,0.0185,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.677, 'audio': 0.7}",True
2026-05-16 19:13:13.744933,8d0ec696,0.0,0.047,0.077,0.178,0.032,0.001,0.665,0.171,0.151,0.2043,0.0168,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.665, 'audio': 0.7}",True
2026-05-16 19:13:17.816200,8d0ec696,0.0,0.043,0.08,0.205,0.034,0.0,0.637,0.1809,0.1476,0.1944,0.0159,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.637, 'audio': 0.7}",True
2026-05-16 19:13:22.235328,8d0ec696,0.0,0.04,0.087,0.231,0.037,0.003,0.603,0.1964,0.1437,0.1801,0.0163,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.603, 'audio': 0.7}",True
2026-05-16 19:13:26.456773,8d0ec696,0.0,0.039,0.093,0.25,0.039,0.005,0.573,0.214,0.1399,0.1641,0.0173,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.573, 'audio': 0.7}",True
2026-05-16 19:13:30.692978,8d0ec696,0.0,0.034,0.091,0.248,0.039,0.007,0.581,0.225,0.1372,0.1535,0.0184,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.581, 'audio': 0.7}",True
2026-05-16 19:13:34.815779,8d0ec696,0.0,0.032,0.089,0.242,0.039,0.008,0.59,0.2302,0.1356,0.1479,0.0193,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.59, 'audio': 0.7}",True
2026-05-16 19:13:39.211097,8d0ec696,0.0,0.034,0.082,0.211,0.035,0.009,0.63,0.2229,0.1369,0.1533,0.0194,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.63, 'audio': 0.7}",True
2026-05-16 19:13:43.274409,8d0ec696,0.0,0.043,0.084,0.184,0.032,0.007,0.649,0.2097,0.1399,0.1646,0.0186,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.649, 'audio': 0.7}",True
2026-05-16 19:13:47.575276,8d0ec696,0.0,0.059,0.089,0.165,0.03,0.005,0.651,0.1953,0.1442,0.1785,0.0173,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.651, 'audio': 0.7}",True
2026-05-16 19:13:51.729742,8d0ec696,0.0,0.071,0.094,0.149,0.028,0.003,0.655,0.1821,0.1488,0.1924,0.0158,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.655, 'audio': 0.7}",True
2026-05-16 19:13:55.842194,8d0ec696,0.0,0.083,0.116,0.138,0.028,0.002,0.633,0.1746,0.1526,0.2011,0.0147,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.633, 'audio': 0.7}",True
2026-05-16 19:14:00.413744,8d0ec696,0.0,0.09,0.141,0.137,0.029,0.001,0.603,0.1758,0.1544,0.2017,0.0139,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.603, 'audio': 0.7}",True
2026-05-16 19:14:04.798432,8d0ec696,0.0,0.094,0.153,0.14,0.033,0.001,0.58,0.1815,0.1549,0.198,0.0142,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.58, 'audio': 0.7}",True
2026-05-16 19:14:08.694304,8d0ec696,0.0,0.088,0.167,0.144,0.036,0.0,0.564,0.1905,0.1535,0.1898,0.0149,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.564, 'audio': 0.7}",True
2026-05-16 19:14:12.646826,8d0ec696,0.0,0.081,0.176,0.146,0.039,0.0,0.557,0.2001,0.1511,0.1802,0.0159,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.557, 'audio': 0.7}",True
2026-05-16 19:14:16.856617,8d0ec696,0.0,0.07,0.161,0.137,0.04,0.0,0.592,0.2018,0.1494,0.1772,0.0168,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.592, 'audio': 0.7}",True
2026-05-16 19:14:21.043206,8d0ec696,0.0,0.06,0.141,0.125,0.039,0.0,0.635,0.1953,0.1489,0.1812,0.0173,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.635, 'audio': 0.7}",True
2026-05-16 19:14:25.189888,8d0ec696,0.0,0.046,0.12,0.106,0.033,0.0,0.695,0.1803,0.1494,0.1922,0.0165,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.695, 'audio': 0.7}",True
2026-05-16 19:14:29.315004,8d0ec696,0.0,0.035,0.095,0.088,0.027,0.0,0.754,0.1587,0.1512,0.2092,0.015,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.754, 'audio': 0.7}",True
2026-05-16 19:14:33.344615,8d0ec696,0.0,0.029,0.078,0.074,0.024,0.0,0.795,0.1358,0.1537,0.2282,0.0133,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.795, 'audio': 0.7}",True
2026-05-16 19:14:37.449671,8d0ec696,0.0,0.026,0.066,0.063,0.021,0.0,0.825,0.1151,0.1563,0.246,0.0116,fatigued,"{'face': 0.958, 'audio': 0.042}","{'face': 0.825, 'audio': 0.7}",True
