timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 16:25:03.356045,9b7b3107,0.17,0.737,0.04,0.091,0.01,0.111,0.01,0.124586,0.54210025724925,0.42702915309425593,0.04335,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",False
2026-05-16 16:25:09.203082,9b7b3107,0.247,0.737,0.04,0.091,0.01,0.111,0.01,0.1436,0.5372,0.4236,0.0433,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:14.707694,9b7b3107,0.242,0.737,0.04,0.091,0.01,0.111,0.01,0.1487,0.5359,0.4227,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:20.272495,9b7b3107,0.252,0.737,0.04,0.091,0.01,0.111,0.01,0.1528,0.5348,0.422,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:23.983989,9b7b3107,0.201,0.737,0.04,0.091,0.01,0.111,0.01,0.1473,0.5362,0.4229,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:27.677223,9b7b3107,0.167,0.737,0.04,0.091,0.01,0.111,0.01,0.14,0.5381,0.4243,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:33.407132,9b7b3107,0.128,0.737,0.04,0.091,0.01,0.111,0.01,0.1271,0.5415,0.4266,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:37.068993,9b7b3107,0.081,0.737,0.04,0.091,0.01,0.111,0.01,0.111,0.5456,0.4295,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:42.446841,9b7b3107,0.112,0.737,0.04,0.091,0.01,0.111,0.01,0.1042,0.5474,0.4307,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:47.965108,9b7b3107,0.187,0.737,0.04,0.091,0.01,0.111,0.01,0.1121,0.5453,0.4293,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:53.324031,9b7b3107,0.26,0.737,0.04,0.091,0.01,0.111,0.01,0.1296,0.5408,0.4261,0.0433,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.737, 'audio': 0.7}",True
2026-05-16 16:25:59.005352,9b7b3107,0.301,0.671,0.051,0.086,0.052,0.1,0.04,0.1548,0.5275,0.4099,0.0488,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.671, 'audio': 0.7}",True
2026-05-16 16:26:04.887840,9b7b3107,0.37,0.605,0.061,0.082,0.095,0.088,0.069,0.19,0.5069,0.384,0.058,engaged,"{'face': 0.58, 'audio': 0.42}","{'face': 0.605, 'audio': 0.7}",True
2026-05-16 16:26:10.514674,9b7b3107,0.359,0.507,0.082,0.076,0.13,0.072,0.133,0.2216,0.4816,0.3506,0.0682,engaged,"{'face': 0.5287, 'audio': 0.4713}","{'face': 0.507, 'audio': 0.7}",True
2026-05-16 16:26:15.964978,9b7b3107,0.349,0.408,0.104,0.071,0.165,0.056,0.196,0.2518,0.4529,0.3117,0.0789,engaged,"{'face': 0.4104, 'audio': 0.5896}","{'face': 0.408, 'audio': 0.7}",True
2026-05-16 16:26:21.995356,9b7b3107,0.37,0.297,0.12,0.065,0.202,0.038,0.279,0.2941,0.4185,0.2684,0.0902,engaged,"{'face': 0.116, 'audio': 0.884}","{'face': 0.297, 'audio': 0.7}",True
2026-05-16 16:26:27.628615,9b7b3107,0.371,0.255,0.127,0.062,0.187,0.03,0.339,0.3217,0.3931,0.2386,0.0937,engaged,"{'face': 0.116, 'audio': 0.884}","{'face': 0.339, 'audio': 0.7}",True
