timestamp,session_id,audio_stress_score,happy,sad,angry,fear,surprise,neutral,stress,engagement,confidence,confusion,dominant_state,weights,quality,smoothed
2026-05-16 18:18:57.047195,e5ecd8c1,0.177,0.01,0.05,0.03,0.01,0.0,0.9,0.10594999999999999,0.373834197375,0.29209213916675,0.0045000000000000005,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.9, 'audio': 0.7}",False
2026-05-16 18:19:01.297020,e5ecd8c1,0.089,0.01,0.09,0.05,0.016,0.0,0.834,0.0977,0.3722,0.2731,0.0061,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.834, 'audio': 0.7}",True
2026-05-16 18:19:05.354359,e5ecd8c1,0.059,0.009,0.104,0.057,0.02,0.0,0.811,0.0933,0.371,0.2615,0.0074,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.811, 'audio': 0.7}",True
2026-05-16 18:19:11.267251,e5ecd8c1,0.054,0.007,0.109,0.061,0.023,0.0,0.799,0.0921,0.3697,0.2531,0.0086,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.799, 'audio': 0.7}",True
2026-05-16 18:19:16.377203,e5ecd8c1,0.069,0.008,0.111,0.062,0.025,0.0,0.795,0.0943,0.3685,0.2477,0.0095,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.795, 'audio': 0.7}",True
2026-05-16 18:19:20.053028,e5ecd8c1,0.033,0.007,0.124,0.069,0.03,0.0,0.77,0.1061,0.2882,0.2358,0.0113,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.77, 'audio': 0.7}",True
2026-05-16 18:19:25.341224,e5ecd8c1,0.059,0.009,0.123,0.073,0.032,0.001,0.763,0.1065,0.3102,0.2297,0.0128,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.763, 'audio': 0.7}",True
2026-05-16 18:19:29.012360,e5ecd8c1,0.059,0.01,0.122,0.076,0.033,0.001,0.757,0.1074,0.3255,0.2254,0.0139,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.757, 'audio': 0.7}",True
2026-05-16 18:19:32.763389,e5ecd8c1,0.051,0.013,0.12,0.078,0.035,0.002,0.753,0.1071,0.3368,0.2231,0.015,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.753, 'audio': 0.7}",True
2026-05-16 18:19:38.049211,e5ecd8c1,0.043,0.015,0.121,0.079,0.036,0.002,0.748,0.1185,0.2667,0.2202,0.0159,neutral,"{'face': 0.958, 'audio': 0.042}","{'face': 0.748, 'audio': 0.7}",True
2026-05-16 18:19:43.094774,e5ecd8c1,0.13,0.017,0.121,0.08,0.037,0.002,0.743,0.1251,0.307,0.2188,0.0166,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.743, 'audio': 0.7}",True
2026-05-16 18:19:48.400753,e5ecd8c1,0.168,0.017,0.115,0.076,0.036,0.002,0.754,0.1356,0.3217,0.2194,0.0168,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.754, 'audio': 0.7}",True
2026-05-16 18:19:53.537406,e5ecd8c1,0.238,0.017,0.109,0.071,0.036,0.002,0.765,0.152,0.3307,0.2211,0.0169,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.765, 'audio': 0.7}",True
2026-05-16 18:19:57.163884,e5ecd8c1,0.238,0.017,0.105,0.067,0.035,0.001,0.775,0.1624,0.3374,0.2241,0.0167,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.775, 'audio': 0.7}",True
2026-05-16 18:20:02.112409,e5ecd8c1,0.285,0.016,0.1,0.065,0.035,0.001,0.783,0.1739,0.3542,0.227,0.0164,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.783, 'audio': 0.7}",True
2026-05-16 18:20:07.322853,e5ecd8c1,0.258,0.016,0.096,0.063,0.034,0.001,0.791,0.177,0.3542,0.2309,0.0161,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.791, 'audio': 0.7}",True
2026-05-16 18:20:11.284155,e5ecd8c1,0.194,0.017,0.095,0.065,0.033,0.002,0.788,0.1687,0.3561,0.2342,0.0159,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.788, 'audio': 0.7}",True
2026-05-16 18:20:15.281770,e5ecd8c1,0.124,0.018,0.094,0.067,0.033,0.002,0.786,0.151,0.3595,0.2372,0.0157,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.786, 'audio': 0.7}",True
2026-05-16 18:20:19.506700,e5ecd8c1,0.124,0.019,0.094,0.073,0.034,0.003,0.778,0.1398,0.3616,0.2378,0.0159,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.778, 'audio': 0.7}",True
2026-05-16 18:20:25.482499,e5ecd8c1,0.137,0.02,0.094,0.079,0.034,0.003,0.77,0.1337,0.3626,0.2367,0.016,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.77, 'audio': 0.7}",True
2026-05-16 18:20:29.235117,e5ecd8c1,0.077,0.021,0.093,0.085,0.035,0.003,0.762,0.1221,0.3644,0.2353,0.0163,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.762, 'audio': 0.7}",True
2026-05-16 18:20:35.326959,e5ecd8c1,0.139,0.021,0.094,0.089,0.036,0.003,0.757,0.1258,0.3635,0.2322,0.0167,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.757, 'audio': 0.7}",True
2026-05-16 18:20:39.364007,e5ecd8c1,0.139,0.031,0.089,0.089,0.036,0.003,0.752,0.1296,0.3636,0.2319,0.017,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.752, 'audio': 0.7}",True
2026-05-16 18:20:45.930491,e5ecd8c1,0.212,0.041,0.083,0.083,0.035,0.005,0.752,0.1414,0.3633,0.234,0.0172,neutral,"{'face': 0.58, 'audio': 0.42}","{'face': 0.752, 'audio': 0.7}",True
